CO_IES	NO_IES	SGL_IES	CO_MANTENEDORA	NO_MANTENEDORA	CO_CATEGORIA_ADMINISTRATIVA	CO_ORGANIZACAO_ACADEMICA	CO_MUNICIPIO_IES	NO_MUNICIPIO_IES	SGL_UF_IES	NO_REGIAO_IES	QT_TEC_TOTAL	QT_PERIODICO_ELETRONICO	QT_LIVRO_ELETRONICO	VL_RECEITA_PROPRIA	VL_TRANSFERENCIA	VL_OUTRA_RECEITA	VL_DES_PESSOAL_REM_DOCENTE	VL_DES_PESSOAL_REM_TECNICO	VL_DES_PESSOAL_ENCARGO	VL_DES_CUSTEIO	VL_DES_INVESTIMENTO	VL_DES_PESQUISA	VL_DES_OUTRAS
1714	ESCOLA SUPERIOR DE GESTÃO COMERCIAL E MARKETING	ESIC	15028	ASSOCIACAO DEHONIANA BRASIL MERIDIONAL	5	3	4106902	Curitiba	PR	Sul	31	65	0	3998447.96	0.00	0.00	942280.02	846108.40	669091.37	1272247.41	0.00	42230.00	0.00
1857	FACULDADE DEHONIANA	DEHONIANA	15028	ASSOCIACAO DEHONIANA BRASIL MERIDIONAL	5	3	3554102	Taubaté	SP	Sudeste	15	0	0	2110064.00	0.00	0.00	654401.00	504450.00	244870.00	328257.00	79184.00	90128.00	203297.00
595	UNIVERSIDADE FEDERAL DE ALFENAS	UNIFAL-MG	15031	UNIVERSIDADE FEDERAL DE ALFENAS - UNIFAL-MG	1	1	3101607	Alfenas	MG	Sudeste	338	0	0	1365030.27	199573438.61	27497253.33	64133067.00	21744752.00	27063504.80	49745112.26	4185607.44	1400957.80	45189100.66
15562	Faculdade Batista do Cariri	FBC	15035	SEMINARIO BATISTA DO CARIRI	5	3	2304202	Crato	CE	Nordeste	5	1000	1000	911520.88	0.00	644.92	204532.78	183241.10	36953.94	56400.60	0.00	0.00	437807.10
16037	Instituto Superior de Ciencias Policiais	ISCP	15194	POLICIA MILITAR DO DISTRITO FEDERAL	2	3	5300108	Brasília	DF	Centro-Oeste	37	192	114	0.00	0.01	0.01	540000.00	1160883.64	180000.00	677582.00	15700.00	25000.00	700.00
15833	FACULDADE 2001		15199	CENTRO EDUCACIONAL DE JARDIM SAO PAULO LTDA - ME	4	3	2611606	Recife	PE	Nordeste	8	26	0	68587.20	0.00	0.00	19413.78	75967.21	36803.20	46200.00	0.00	0.00	0.00
15839	Faculdade DeVry João Pessoa	DVJP	15205	SEPA - SOCIEDADE EDUCACIONAL DA PARAIBA LTDA	4	3	2507507	João Pessoa	PB	Nordeste	49	160	0	858632.38	0.00	2919.38	650198.05	584993.80	771446.65	2765995.62	725199.36	0.00	114662.39
1326	FACULDADE CAPIXABA DA SERRA	MULTIVIX SERRA	15213	EMPRESA CAPIXABA DA SERRA DE ENSINO, PESQUISA E EXTENSAO LTDA	4	3	3205002	Serra	ES	Sudeste	76	310	246	29518158.21	0.00	1012244.92	3379874.05	1177832.02	2430131.76	0.00	309977.65	0.00	9391033.20
15859	Faculdade Católica Paulista	FACAP	15215	ASSOCIACAO EDUCACIONAL LATINO AMERICANA	5	3	3529005	Marília	SP	Sudeste	15	411	8000	0.00	0.00	20777.60	380795.67	257468.16	264162.41	3936248.45	0.00	0.00	0.00
15873	Faculdade Itaquá	UNEITAQUÁ	15224	UNIDADE DE ENSINO SUPERIOR E TECNICO ITAQUA LTDA	4	3	3523107	Itaquaquecetuba	SP	Sudeste	3	0	0	49167.24	0.00	11208.17	160342.79	53360.54	74326.17	47520.93	0.00	0.00	45366.28
