CO_IES	NO_IES	SGL_IES	CO_MANTENEDORA	NO_MANTENEDORA	CO_CATEGORIA_ADMINISTRATIVA	CO_ORGANIZACAO_ACADEMICA	CO_MUNICIPIO_IES	NO_MUNICIPIO_IES	SGL_UF_IES	NO_REGIAO_IES	QT_TEC_TOTAL	QT_PERIODICO_ELETRONICO	QT_LIVRO_ELETRONICO	VL_RECEITA_PROPRIA	VL_TRANSFERENCIA	VL_OUTRA_RECEITA	VL_DES_PESSOAL_REM_DOCENTE	VL_DES_PESSOAL_REM_TECNICO	VL_DES_PESSOAL_ENCARGO	VL_DES_CUSTEIO	VL_DES_INVESTIMENTO	VL_DES_PESQUISA	VL_DES_OUTRAS
845	FACULDADE DA FUNDAÇÃO EDUCACIONAL ARAÇATUBA	FAC-FEA	586	FUNDACAO EDUCACIONAL ARACATUBA	3	3	3502804	Araçatuba	SP	Sudeste	21	31	374	3309240.57	0.00	972650.43	1875656.86	657629.40	1174737.11	212663.74	14962.64	169611.97	115794.16
847	FACULDADE PIAUIENSE DE PROCESSAMENTO DE DADOS	FPPD	587	ASSOCIACAO DE ENSINO SUPERIOR DO PIAUI-AESPI	5	3	2211001	Teresina	PI	Nordeste	101	123	9874	11952912.19	0.00	4987934.46	3299127.41	1944666.96	1786782.94	4092746.60	272382.91	0.00	19310.00
846	FACULDADE DE ADMINISTRAÇÃO DE TERESINA	FAT	587	ASSOCIACAO DE ENSINO SUPERIOR DO PIAUI-AESPI	5	3	2211001	Teresina	PI	Nordeste	101	250	9874	11952912.19	0.00	4987934.46	3299127.41	1944666.96	1786782.94	4092746.60	272382.91	0.00	19310.00
1656	INSTITUTO DE ENSINO SUPERIOR DE TERESINA	IEST	587	ASSOCIACAO DE ENSINO SUPERIOR DO PIAUI-AESPI	5	3	2211001	Teresina	PI	Nordeste	101	350	9874	11952912.19	0.00	4987934.46	3299127.41	1944666.96	1786782.94	4092746.60	272382.91	0.00	19310.00
848	FACULDADE PARAIBANA DE PROCESSAMENTO DE DADOS	FPPD	588	ASSOCIACAO PARAIBANA DE ENSINO RENOVADO-ASPER	5	3	2507507	João Pessoa	PB	Nordeste	9	354	9451	15764239.02	0.00	1713626.00	4704592.81	2250214.27	2371857.98	9813676.55	426099.56	0.00	54210.95
1462	INSTITUTO PARAIBANO DE ENSINO RENOVADO	INPER	588	ASSOCIACAO PARAIBANA DE ENSINO RENOVADO-ASPER	5	3	2507507	João Pessoa	PB	Nordeste	41	250	9450	15764239.02	0.00	1713626.00	4704592.81	2250214.27	2371857.98	9813676.55	426099.56	0.00	54210.95
2908	FACULDADE NATALENSE DE ENSINO E CULTURA	FANEC	588	ASSOCIACAO PARAIBANA DE ENSINO RENOVADO-ASPER	5	3	2408102	Natal	RN	Nordeste	41	250	9841	15764239.02	0.00	1713626.09	4704592.81	2250214.27	2371857.98	9813676.55	426099.56	0.00	54210.95
849	FACULDADE JESUÍTA DE FILOSOFIA E TEOLOGIA	FAJE	589	ASSOCIACAO JESUITA DE EDUCACAO E ASSISTENCIA SOCIAL	5	3	3106200	Belo Horizonte	MG	Sudeste	44	5	3	1873871.55	0.00	0.00	1596108.43	45698.91	132769.21	0.00	0.00	9600.00	53513.99
1182	INSTITUTO DE ENSINO SUPERIOR DE AMERICANA	IESA	597	ASSOCIACAO CAMPINEIRA DE ENSINO SUPERIOR E CULTURA	5	3	3501608	Americana	SP	Sudeste	15	347	9119	780425.54	0.00	132017.11	637573.68	377622.75	323158.85	1827987.43	219605.29	0.00	55082.19
1872	FACULDADES INTEGRADAS SANTA CRUZ DE CURITIBA	FARESC	599	UNIAO PARANAENSE DE ENSINO E CULTURA -UNIPEC	5	3	4106902	Curitiba	PR	Sul	122	120	4000	27356751.44	0.00	2098008.75	5997122.38	5096912.32	4082471.97	5111016.32	484518.27	20310.14	5614959.79
861	CENTRO DE ENSINO SUPERIOR DO AMAPÁ	CEAP	600	ASSOCIACAO AMAPAENSE DE ENSINO E CULTURA	5	3	1600303	Macapá	AP	Norte	62	651	33	20190797.46	0.00	424476.23	5432919.80	1556121.29	3989602.07	5228547.06	155152.79	109476.52	1690128.16
940	Faculdades Magsul	FAMAG	606	ASSOCIACAO DE ENSINO SUPERIOR PONTAPORANENSE-AESP	5	3	5006606	Ponta Porã	MS	Centro-Oeste	27	94	30	5483360.77	0.00	1484384.22	2803940.01	560922.60	990512.56	1140067.93	1338211.96	0.00	60003.00
976	FACULDADES INTEGRADAS DE PONTA PORÃ	FIP	606	ASSOCIACAO DE ENSINO SUPERIOR PONTAPORANENSE-AESP	5	3	5006606	Ponta Porã	MS	Centro-Oeste	11	33	6	5483360.77	0.00	1484384.22	2803940.01	560922.60	990512.56	1140067.93	1338211.96	0.00	60003.00
1032	CENTRO UNIVERSITÁRIO SALESIANO DE SÃO PAULO	UNISAL	607	LICEU CORACAO DE JESUS	5	2	3501608	Americana	SP	Sudeste	527	1	49749	116427700.89	2103268.18	33792767.64	35619981.46	12790390.96	22477787.91	25644747.36	10594834.70	3900690.30	5870620.62
873	FACULDADES UNIFICADAS DE FOZ DO IGUAÇU	UNIFOZ	608	SOCIEDADE DE EDUCACAO TRES FRONTEIRAS LTDA	4	3	4108304	Foz do Iguaçu	PR	Sul	27	0	0	6109442.84	1178105.62	177359.12	2554121.73	1105364.92	809485.67	524995.96	0.00	0.00	2181737.23
874	FACULDADE DE ESTUDOS SOCIAIS APLICADOS DE VIANA	FESAV	609	SOCIEDADE EDUCACIONAL DE VIANA	5	3	3205101	Viana	ES	Sudeste	7	1	1	262280.00	0.00	0.00	122170.00	55655.00	23527.00	61028.00	0.00	0.00	0.00
877	FACULDADE DE ECONOMIA E PROCESSAMENTO DE DADOS DE FOZ DO IGUAÇU	FEPI	611	ASSOCIACAO EDUCACIONAL IGUACU "AEI"	5	3	4108304	Foz do Iguaçu	PR	Sul	44	234	9149	13987638.29	0.00	1158035.76	5451535.76	2418256.27	2475261.25	19319396.43	57142.43	0.00	51453.83
1550	FACULDADE DE EDUCAÇÃO FÍSICA DE FOZ DO IGUAÇU	FEPI	611	ASSOCIACAO EDUCACIONAL IGUACU "AEI"	5	3	4108304	Foz do Iguaçu	PR	Sul	44	250	9149	13987638.29	0.00	1158035.76	5451535.76	2418256.27	2475261.25	19319396.43	57142.43	0.00	51453.83
2086	INSTITUTO DE ENSINO SUPERIOR DE FOZ DO IGUAÇU	IESFI	611	ASSOCIACAO EDUCACIONAL IGUACU "AEI"	5	3	4108304	Foz do Iguaçu	PR	Sul	44	0	9514	13987638.29	0.00	1158035.76	5451535.76	2418256.27	2475261.25	19319396.43	57142.43	0.00	51453.83
881	INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE ASSIS	IMESA	615	FUNDACAO EDUCACIONAL DO MUNICIPIO DE ASSIS	3	3	3504008	Assis	SP	Sudeste	58	9918	0	20193226.29	234342.36	726489.33	7071853.62	3030794.41	3004117.21	4343659.92	1068665.64	0.00	123741.35
882	INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE BEBEDOURO VICTÓRIO CARDASSI	IMESB	616	PREFEITURA MUNICIPAL DE BEBEDOURO	7	3	3506102	Bebedouro	SP	Sudeste	32	0	0	4056226.16	59111.35	17250.31	1838589.80	844011.37	115796.77	913910.56	59437.54	0.00	296371.73
890	ESCOLA DE GOVERNO PROFESSOR PAULO NEVES DE CARVALHO	EG	623	FUNDACAO JOAO PINHEIRO	2	3	3106200	Belo Horizonte	MG	Sudeste	55	14664	35	1682119.91	0.00	0.00	1400478.76	110697.36	34316.18	1659243.27	0.00	0.00	0.00
1038	FACULDADES INTEGRADAS DE TRÊS LAGOAS	AEMS	625	ASSOCIACAO DE ENSINO E CULTURA DE MATO GROSSO DO SUL	5	3	5008305	Três Lagoas	MS	Centro-Oeste	84	2	640	26152973.24	0.00	3959746.36	4404202.69	1854136.18	85894.45	2789428.15	2535520.75	120000.00	83347.99
3170	FACULDADE ESTÁCIO DE FLORIANÓPOLIS - ESTÁCIO FLORIANÓPOLIS		626	ASSOCIACAO DE ENSINO DE SANTA CATARINA	5	3	4205407	Florianópolis	SC	Sul	20	35000	4800	11440376.06	0.00	270782.74	1864501.35	1068825.53	919153.74	2260699.45	0.00	0.00	393114.37
898	FACULDADE DE CIÊNCIAS ECONÔMICAS E ADMINISTRATIVAS SANTA RITA DE CÁSSIA	FACEAS	628	ASSOCIACAO DE EDUCACAO SANTA RITA DE CASSIA	5	3	3550308	São Paulo	SP	Sudeste	53	130	534	6489000.00	0.00	143298.43	1935670.09	1224590.87	1245460.29	1000409.83	1500696.80	20000.00	0.00
900	FACULDADE DE CIÊNCIAS ADMINISTRATIVAS E DE TECNOLOGIA	FATEC	630	ASSOCIACAO RONDONIENSE DE ENSINO SUPERIOR	5	3	1100205	Porto Velho	RO	Norte	67	0	0	2186991.70	0.00	0.00	837000.00	582000.00	540000.00	480000.00	0.00	0.00	0.00
1233	CENTRO UNIVERSITÁRIO CÂNDIDO RONDON	UNIRONDON	631	UNIAO EDUCACIONAL CANDIDO RONDON - UNIRONDON LTDA	5	2	5103403	Cuiabá	MT	Centro-Oeste	72	24951	7250	27711817.00	0.00	2760757.72	4560507.44	1200644.65	4163603.34	3035298.16	737676.03	0.00	792492.91
905	FACULDADE ESCOLA PAULISTA DE DIREITO	FACEPD	635	INSTITUICAO ESCOLA PAULISTA DE ENSINO SUPERIOR - IEPES LTDA. - ME	4	3	3550308	São Paulo	SP	Sudeste	53	194	58	27308692.00	0.00	0.00	478350.00	2044400.00	1590713.00	16676511.00	141206.00	0.00	803489.00
906	FACULDADE DE EDUCAÇÃO E CIÊNCIAS GERENCIAIS DE SUMARÉ	FECGS	636	ORGANIZACAO PAULISTANA EDUCACIONAL E CULTURAL	5	3	3552403	Sumaré	SP	Sudeste	15	842	8659	5990134.14	0.00	1309.96	1278811.22	852540.81	713799.20	135652.42	0.00	0.00	790807.38
1099	FACULDADE DE EDUCAÇÃO E CIÊNCIAS GERENCIAIS DE SÃO PAULO	FECG-SP	636	ORGANIZACAO PAULISTANA EDUCACIONAL E CULTURAL	5	3	3550308	São Paulo	SP	Sudeste	30	842	8659	5990134.14	0.00	1309.96	1278811.22	852540.81	713799.20	135652.42	0.00	0.00	790807.38
908	FACULDADE ALAGOANA DE ADMINISTRAÇÃO	FAA	637	ASSOCIACAO DE ENSINO SUPERIOR DE ALAGOAS-AESA	5	3	2704302	Maceió	AL	Nordeste	23	350	9845	1626606.29	0.00	2170767.03	704647.88	617458.50	441989.66	2626520.14	27601.21	0.00	13697.79
2075	INSTITUTO DE ENSINO SUPERIOR DE ALAGOAS	IESA	637	ASSOCIACAO DE ENSINO SUPERIOR DE ALAGOAS-AESA	5	3	2704302	Maceió	AL	Nordeste	23	250	9874	1626606.29	0.00	2170767.03	704647.88	617458.50	441989.66	2626520.14	27601.21	0.00	13697.79
909	FACULDADE DE BELFORD ROXO	FABEL	638	SOC DE ENSINO SUPERIOR PROF FERNANDA BICCHIERI SOARES	5	3	3300456	Belford Roxo	RJ	Sudeste	109	0	0	4371884.76	0.00	0.00	1790952.52	1150497.64	174934.19	237804.24	30441.49	0.00	473196.55
910	FACULDADE SANTA LÚCIA	FCACSL	639	ASSOCIACAO EDUCACIONAL E ASSISTENCIAL SANTA LUCIA	5	3	3530805	Moji Mirim	SP	Sudeste	29	56	18	9162750.47	0.00	0.00	3137808.53	730523.65	1199182.98	1506368.78	0.00	0.00	502122.93
913	FACULDADES INTEGRADAS DE PARANAÍBA - FIPAR	FIPAR	642	CENTRO EDUCACIONAL VISCONDE DE TAUNAY	5	3	5006309	Paranaíba	MS	Centro-Oeste	21	28	6	1167635.20	0.00	123799.41	670146.53	349753.25	115465.32	33159.41	84075.91	17333.49	21500.70
915	FACULDADE DE ADMINISTRAÇÃO DE FÁTIMA DO SUL	FAFS	644	ASSOCIACAO EDUCACIONAL NOVE DE JULHO	5	3	5003801	Fátima do Sul	MS	Centro-Oeste	14	842	8659	4437009.59	0.00	0.00	573082.83	245606.93	294728.31	45846.63	0.00	0.00	57308.28
916	FACULDADE ESTÁCIO DE TERESINA	ESTÁCIO TERESINA	645	CENTRO DE ENSINO UNIFICADO DE TERESINA	4	3	2211001	Teresina	PI	Nordeste	76	35000	4800	64996008.31	0.00	944726.75	16077604.92	3772251.73	5964839.97	6296099.41	0.00	0.00	8216120.77
917	FACULDADE DE CIÊNCIAS CONTÁBEIS DE NAVIRAI	FACINAV	646	ASSOCIACAO EDUCACIONAL DO CONE SUL	5	3	5005707	Naviraí	MS	Centro-Oeste	11	842	8659	3361503.86	0.00	0.00	1346364.24	577013.24	692415.89	0.00	0.00	0.00	23087.50
918	FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE CASCAVEL	FCSAC	647	UNIAO EDUCACIONAL DE CASCAVEL - UNIVEL LTDA	4	3	4104808	Cascavel	PR	Sul	203	41	6800	31951282.57	0.00	5553806.18	7147867.81	7560181.86	4154834.31	11495450.02	5974019.12	102004.78	1070730.85
923	FACULDADE DE ADMINISTRAÇÃO E CIÊNCIAS CONTÁBEIS DE SÃO ROQUE	FACCSR	650	ASSOCIACAO DE ENSINO SUPERIOR DE SAO ROQUE	5	3	3550605	São Roque	SP	Sudeste	21	4085	207125	8704864.91	0.00	223994.12	3278689.08	811892.27	1667070.67	650514.76	90055.33	125261.00	729647.66
1422	CENTRO UNIVERSITÁRIO DO NORTE	UNINORTE	656	SOCIEDADE DE DESENVOLVIMENTO CULTURAL DO AMAZONAS S.A. - SODECAM	4	2	1302603	Manaus	AM	Norte	679	126	458	207227712.57	0.00	0.00	39056271.00	32251288.00	23222527.00	34335058.00	7069370.00	812384.00	17449620.00
1142	FACULDADES INTEGRADAS DE VITÓRIA	FDV	658	SOCIEDADE DE ENSINO SUPERIOR DE VITORIA LTDA	4	3	3205309	Vitória	ES	Sudeste	61	0	2110	23408337.07	0.00	1163595.16	6400842.63	1244910.73	4176545.68	4972528.14	622036.28	159093.68	1260607.19
1125	FACULDADES INTEGRADAS ESPÍRITA	FIES	662	INSTITUTO DE CULTURA ESPIRITA DO PARANA	5	3	4106902	Curitiba	PR	Sul	10	20	10	1452616.00	0.00	0.00	730170.00	320000.00	40000.00	190000.00	110000.00	5700.00	40000.00
939	FACULDADE CATÓLICA DE ANÁPOLIS	CATÓLICA DE ANÁPOLIS	664	FUNDACAO SAO MIGUEL ARCANJO	5	3	5201108	Anápolis	GO	Centro-Oeste	14	35	5206	3583199.05	0.02	794769.98	1823996.40	568832.25	960004.97	666552.64	29905.15	25953.32	206724.30
952	UNIVERSIDADE SANTA CECÍLIA	UNISANTA	676	INSTITUTO SUPERIOR DE EDUCACAO SANTA CECILIA	5	1	3548500	Santos	SP	Sudeste	584	38	5205	93211889.82	0.00	41887129.26	43517454.53	22920554.90	18047300.10	61204204.67	6041125.58	0.00	967334.45
953	UNIVERSIDADE METROPOLITANA DE SANTOS	UNIMES	677	CENTRO DE ESTUDOS UNIFICADOS BANDEIRANTE	5	1	3548500	Santos	SP	Sudeste	1219	7300	5209	104671619.02	0.00	20420.36	27088734.81	17813812.52	16041090.78	0.00	809778.89	0.00	42047772.45
1374	FACULDADE DE CIÊNCIAS SOCIAIS DE GUARANTÃ DO NORTE	FCSGN	683	UNIFLOR-UNIAO DAS FACULDADES DE ALTA FLORESTA	5	3	5104104	Guarantã do Norte	MT	Centro-Oeste	14	85	95	5654962.63	0.00	137000.00	1217588.00	1165966.37	762737.40	483000.00	1217345.00	752000.00	0.00
1162	FACULDADE DE ALTA FLORESTA	FAF	683	UNIFLOR-UNIAO DAS FACULDADES DE ALTA FLORESTA	5	3	5100250	Alta Floresta	MT	Centro-Oeste	26	23	0	1151954.27	0.00	0.00	506315.58	751398.55	473873.64	1179837.98	117422.38	39064.15	596701.95
1867	FACULDADE DE CIÊNCIAS GERENCIAIS DE SANTOS DUMONT	FACIG	686	FUNDACAO EDUCACIONAL SAO JOSE	5	3	3160702	Santos Dumont	MG	Sudeste	20	0	0	2534418.90	0.00	22218.62	1235613.68	638437.82	642604.52	292358.46	2257.11	171.50	86229.03
1868	INSTITUTO SUPERIOR DE EDUCAÇÃO DE SANTOS DUMONT	ISESD	686	FUNDACAO EDUCACIONAL SAO JOSE	5	3	3160702	Santos Dumont	MG	Sudeste	20	0	0	2534418.00	0.00	22218.62	1235613.68	638437.82	642604.52	292358.46	2257.11	171.50	86229.03
5243	FACULDADE DE CIÊNCIAS JURÍDICAS DE SANTOS DUMONT	FCJSD	686	FUNDACAO EDUCACIONAL SAO JOSE	5	3	3160702	Santos Dumont	MG	Sudeste	20	0	0	2534418.90	0.00	22218.62	1235613.68	638437.82	642604.52	292358.46	2257.11	171.50	86229.03
983	FACULDADE PRUDENTE DE MORAES	FPM	687	FACULDADE DE ITU LTDA	4	3	3523909	Itu	SP	Sudeste	19	842	8569	1593273.84	0.00	6.03	230216.18	153477.45	134652.66	1955.95	0.00	0.00	139612.11
3688	FACULDADES INTEGRADAS DO VALE DO IVAÍ		688	INSTITUICAO CULTURAL E EDUCACIONAL DE IVAIPORA	5	3	4111506	Ivaiporã	PR	Sul	41	94	1987	4813715.61	0.00	50397.80	1594844.88	877992.00	1212743.37	259769.71	189255.98	0.00	729507.47
4113	FACULDADE DE CERES	FACER	689	CESUR - CENTRO DE ENSINO SUPERIOR DE RUBIATABA LTDA	4	3	5205406	Ceres	GO	Centro-Oeste	20	2	8000	6541156.37	0.00	100252.50	1298752.72	888669.60	730620.10	434356.94	0.00	0.00	3147995.72
985	FACULDADE DE CIÊNCIAS E EDUCAÇÃO DE RUBIATABA	FACER	689	CESUR - CENTRO DE ENSINO SUPERIOR DE RUBIATABA LTDA	4	3	5218904	Rubiataba	GO	Centro-Oeste	22	127	7578	5967429.28	0.00	1342624.14	1260000.71	756243.77	641894.45	472841.34	0.00	0.00	4012745.77
15173	Faculdade de Jaraguá		689	CESUR - CENTRO DE ENSINO SUPERIOR DE RUBIATABA LTDA	4	3	5211800	Jaraguá	GO	Centro-Oeste	9	1	7643	1963806.84	0.00	24854.52	271838.76	284638.02	189896.31	238851.26	0.00	0.00	447944.22
989	ESCOLA SUPERIOR EM MEIO AMBIENTE	ESMA	693	FUNDACAO EDUCACIONAL VALE DO SAO FRANCISCO	5	3	3130309	Iguatama	MG	Sudeste	9	0	0	399855.75	1425.07	420000.00	84507.05	67438.15	92750.14	14061.30	19938.00	3700.00	45751.25
991	FACULDADE SENAI-CETIQT	SENAI-CETIQT	695	SERVICO NACIONAL DE APRENDIZAGEM INDUSTRIAL SENAI	5	3	3304557	Rio de Janeiro	RJ	Sudeste	138	1	0	12103091.00	0.00	20436227.00	8899183.00	3665846.00	11439087.00	70017.00	304609.00	12399.00	8148177.00
994	Faculdade de Duque de Caxias	FDC	698	UNIAO BRASILEIRA DE CULTURA E EDUCACAO	5	3	3301702	Duque de Caxias	RJ	Sudeste	20	674	8659	8770924.15	0.00	30.00	1174986.22	783324.15	755888.10	201383.69	0.00	0.00	734377.47
1444	FACULDADES INTEGRADAS EINSTEIN DE LIMEIRA	FIEL	699	ASSOCIACAO LIMEIRENSE DE EDUCACAO E CULTURA	5	3	3526902	Limeira	SP	Sudeste	42	0	1950	25042771.09	0.00	0.00	5166643.34	334736.79	3261931.60	2245433.77	0.00	0.00	4107591.03
997	Centro Universitário de Bauru		700	INSTITUICAO TOLEDO DE ENSINO	5	2	3506003	Bauru	SP	Sudeste	76	146	37	26057652.00	0.00	139389.42	6409828.44	5244405.03	4774674.06	1859626.89	186476.73	72730.39	0.00
2328	FACULDADE ITEANA DE BOTUCATU	FITB	700	INSTITUICAO TOLEDO DE ENSINO	5	3	3507506	Botucatu	SP	Sudeste	16	146	37	5306452.60	0.00	1188.07	837392.16	685139.05	598501.19	598737.59	108022.12	19979.50	0.00
1012	FACULDADE DE FORMAÇÃO DE PROFESSORES DE AFOGADOS DA INGAZEIRA	FAFOPAI	709	AUTARQUIA EDUCACIONAL DE AFOGADOS DA INGAZEIRA-AEDAI	3	3	2600104	Afogados da Ingazeira	PE	Nordeste	13	0	0	1532425.92	155000.00	13553.64	837799.89	213214.47	208443.41	294452.28	84071.46	0.00	0.00
1013	FACULDADE SUDOESTE PAULISTANO	FASUP	710	ASSOCIACAO TABOAO DA SERRA DE EDUCACAO E CULTURA ATSEC	5	3	3550308	São Paulo	SP	Sudeste	8	431	3528	2751112.26	0.00	0.00	304149.51	202766.34	174193.84	22254.19	0.00	0.00	89511.77
1014	INSTITUTO SUPERIOR E CENTRO EDUCACIONAL LUTERANO - BOM JESUS - IELUSC	BOM JESUS/IELUSC	711	ASSOCIACAO EDUCACIONAL LUTERANA BOM JESUS/IELUSC	5	3	4209102	Joinville	SC	Sul	47	0	0	37860109.23	0.00	5485116.87	8566982.08	6902327.49	4897234.84	5896063.80	7614044.29	0.00	591250.72
1701	FACULDADE MACHADO DE ASSIS	FAMA	712	ASSOCIACAO EDUCACIONAL MACHADO DE ASSIS	5	3	3304557	Rio de Janeiro	RJ	Sudeste	21	100	0	5146311.63	0.00	120.17	2267450.10	564049.16	899740.84	715167.30	0.00	0.00	135348.07
828	FACULDADE DE SÃO LOURENÇO	FASAMA	715	UNISEPE UNIAO DAS INSTITUICOES DE SERVICO, ENSINO E PESQUISA LTDA	4	3	3163706	São Lourenço	MG	Sudeste	44	4	0	12315528.76	0.00	231634.94	1777901.97	670357.64	1762768.39	1000716.74	152418.25	0.00	468094.63
1554	FACULDADES INTEGRADAS DO VALE DO RIBEIRA	FIVR	715	UNISEPE UNIAO DAS INSTITUICOES DE SERVICO, ENSINO E PESQUISA LTDA	4	3	3542602	Registro	SP	Sudeste	48	0	0	18749078.77	0.00	449329.38	2383077.55	1923467.19	4114124.44	4097319.47	1148779.85	0.00	553917.03
1225	CENTRO UNIVERSITÁRIO AMPARENSE	UNIFIA	715	UNISEPE UNIAO DAS INSTITUICOES DE SERVICO, ENSINO E PESQUISA LTDA	4	2	3501905	Amparo	SP	Sudeste	32	0	0	11401540.36	0.00	495006.97	1701612.39	1019528.34	2352154.66	1718061.86	263282.03	0.00	692241.72
4185	FACULDADE PERUIBE	FPBE	715	UNISEPE UNIAO DAS INSTITUICOES DE SERVICO, ENSINO E PESQUISA LTDA	4	3	3537602	Peruíbe	SP	Sudeste	9	183	0	4781956.55	0.00	81644.48	939097.33	420740.45	1300022.04	1831500.45	725182.29	0.00	126502.35
5369	FACULDADES INTEGRADAS ASMEC	ASMEC	715	UNISEPE UNIAO DAS INSTITUICOES DE SERVICO, ENSINO E PESQUISA LTDA	4	3	3146008	Ouro Fino	MG	Sudeste	24	460	0	4232895.52	0.00	173811.64	1051917.29	430917.62	1070728.30	721638.16	56003.65	0.00	130687.31
1019	FACULDADE DE CIÊNCIAS E TECNOLOGIA DE UNAÍ - FACTU	FACTU	716	ASSOCIACAO DE ENSINO E PESQUISA DE UNAI AEPU	5	3	3170404	Unaí	MG	Sudeste	46	0	0	7378301.25	0.00	473520.40	2362789.83	787596.61	1547614.94	0.00	34537.05	10600.00	1176158.10
1170	FACULDADE METROPOLITANA DE CAMAÇARI	FAMEC	717	ASSOCIACAO EDUCATIVA E CULTURAL DE CAMACARI	5	3	2905701	Camaçari	BA	Nordeste	95	112	4000	8128025.40	0.00	0.00	3277041.80	1079323.90	2341570.60	0.00	0.00	0.00	1196778.00
1021	FACULDADE DE CIÊNCIAS DE TIMBAÚBA	FACET	718	ASSOCIACAO DE ENSINO SUPERIOR SANTA TEREZINHA	5	3	2615300	Timbaúba	PE	Nordeste	32	0	20	3960619.70	0.00	13235.37	1215086.15	614311.85	743611.63	260682.16	74920.28	13920.00	606656.05
1143	Faculdade de Ciências de Timbaúba	FACET	718	ASSOCIACAO DE ENSINO SUPERIOR SANTA TEREZINHA	5	3	2615300	Timbaúba	PE	Nordeste	24	0	20	3960619.70	0.00	13235.37	1215086.15	614311.85	743611.63	260682.16	74920.28	13920.00	606656.05
1028	UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL	UEMS	729	SECRETARIA DE ESTADO DE EDUCACAO DE MATO GROSSO DO SUL	2	1	5003702	Dourados	MS	Centro-Oeste	293	0	0	164950174.34	4608365.82	817983.61	77455361.84	18645038.87	19454368.96	0.00	0.00	0.00	0.00
1048	FACULDADE CAMPOS ELÍSEOS	FCE	731	INSTITUTO PAULISTA DE CIENCIAS DA ADMINISTRACAO LTDA IPCA - EPP	4	3	3550308	São Paulo	SP	Sudeste	65	12	15000	1203000.00	0.00	0.00	322000.00	105000.00	100000.00	520000.00	500000.00	35000.00	11500.00
1049	INSTITUTO DE ENSINO SUPERIOR FUCAPI	CESF	732	FUCAPI FUND CENTRO DE ANALISE PESQ E INOV TECNOLOGICA	5	3	1302603	Manaus	AM	Norte	869	355	1800	22819990.07	0.00	353146.51	5032709.44	591823.41	2723100.07	8462898.92	1381596.98	0.00	781389.87
1051	FACULDADE DA SEUNE	SEUNE	734	SEUNE - SOC DE ENSINO UNIVERSITARIO DO NORDESTE LTDA	4	3	2704302	Maceió	AL	Nordeste	47	88	0	7760155.10	0.00	0.00	3104062.04	1170400.34	1182439.92	335238.70	0.00	0.00	470944.00
3754	FACULDADES INTEGRADAS ADVENTISTAS DE MINAS GERAIS	FADMINAS	735	INSTITUICAO ADV DE EDUC E ASSIST SOCIAL ESTE BRASILEIRA	5	3	3138203	Lavras	MG	Sudeste	20	0	0	4093402.81	0.00	0.00	1520186.22	388636.96	607605.68	655975.49	811173.67	6328.38	14672.25
2553	INSTITUTO DE EDUCAÇÃO SUPERIOR UNYAHNA LUIS EDUARDO MAGALHÃES	IESULEM	736	ASSOCIACAO EDUCACIONAL UNYAHNA S/C	4	3	2919553	Luís Eduardo Magalhães	BA	Nordeste	5	0	0	0.00	0.00	160000.00	24393.00	12180.00	13864.00	38000.00	45000.00	20000.00	0.00
1124	INSTITUTO DE EDUCAÇÃO SUPERIOR UNYAHNA DE BARREIRAS	IESUB	736	ASSOCIACAO EDUCACIONAL UNYAHNA S/C	4	3	2903201	Barreiras	BA	Nordeste	33	70	0	1234494.00	0.00	0.00	509360.00	116428.00	230290.00	110863.00	100000.00	30000.00	67619.00
1123	INSTITUTO DE EDUCAÇÃO SUPERIOR UNYAHNA DE SALVADOR	IESUS	736	ASSOCIACAO EDUCACIONAL UNYAHNA S/C	4	3	2927408	Salvador	BA	Nordeste	45	11	78	2322688.00	0.00	0.00	1193751.00	283545.00	301449.00	323943.00	115000.00	65000.00	38000.00
1055	FACULDADE MAURÍCIO DE NASSAU DE SALVADOR	FMN SALVADOR	737	ABES - SOCIEDADE BAIANA DE ENSINO SUPERIOR LTDA	4	3	2927408	Salvador	BA	Nordeste	105	16977	3389	18728000.00	0.00	866000.00	4785000.00	1460700.00	3530200.00	11594600.00	0.00	0.00	1794000.00
1060	CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB	IESB	740	CESB - CENTRO DE EDUCACAO SUPERIOR DE BRASILIA LTDA	4	2	5300108	Brasília	DF	Centro-Oeste	349	7000	4000	259977802.00	0.00	454778.00	34221931.00	14239962.00	28400139.00	32140947.00	48134868.05	0.00	667503.00
1428	INSTITUTO DE ENSINO SUPERIOR PLANALTO	IESPLAN	741	CENTRO DE ESTUDOS SUPERIORES PLANALTO LTDA - ME	4	3	5300108	Brasília	DF	Centro-Oeste	34	0	0	4722357.63	0.00	106228.91	2303268.44	775206.02	965504.19	285860.74	155760.15	25000.00	220243.85
1067	FACULDADE DE JUSSARA	FAJ	744	CENTRO DE CIENCIAS DE JUSSARA LTDA - EPP	4	3	5212204	Jussara	GO	Centro-Oeste	26	0	0	2297168.44	0.00	0.00	601622.05	733453.08	439930.73	0.00	11701.92	0.00	923617.01
